Covidence #,Study ID,Title,Reviewer Name,Title,Authors,Year of publication,Journal name,Country of study ,World Bank income classification,Data source type,Sample size — number of accidents,Study period covered by data,Geographic scope,Urban or rural setting,ML algorithm or algorithms used ,Algorithm category,Prediction task type,Training and test split method,Class imbalance addressed,Hyperparameter tuning reported,Spatial analysis method used ,Temporal resolution of analysis,Geographic unit of analysis ,Spatiotemporal framework type,Accuracy reported ,AUC or AUROC reported,F1-score reported ,Precision reported,Recall or sensitivity reported ,RMSE reported,MAE reported,Other metric and value ,Best performing algorithm in study ,Study conducted in Bangladesh,Study conducted in LMIC,Authors discuss LMIC transferability,Bangladesh relevance notes,PROBAST overall risk of bias,PROBAST Participants domain,PROBAST Predictors domain,PROBAST Outcome domain,PROBAST Analysis domain ,Author stated limitations,Key findings summary,PROBAST — Participants,PROBAST — Participants supporting text,PROBAST — Predictors,PROBAST — Predictors supporting text,PROBAST — Outcome,PROBAST — Outcome supporting text,PROBAST — Analysis,PROBAST — Analysis supporting text,PROBAST — Overall risk of bias,PROBAST — Overall risk of bias supporting text
349,Alhaek 2025,Encoding global semantic and localized geographic spatial-temporal relations for traffic accident risk prediction,Consensus,"Encoding global semantic and localized geographic
spatial-temporal relations for traffic accident risk prediction",Alhaek et al,2025,Information Sciences,United States,High income,Mixed sources,"NYC: 147,000 accident records; Chicago: 44,000 accident records",NYC: January–December 2013 (full year); Chicago: February–September 2016 (8 months),City level,Urban,"Proposed model: GLST-TARP — Multi-graph GCN (4 graphs: Functional Similarity, Demographic Similarity, Road Similarity, Traffic Flow) + Graph Attention + Temporal Attention (Transformer + GRU) + Channel-wise CNN block. Baselines: Historical Average (HA), ARIMA, XGBoost, SaDE, H-ConvLSTM, ST-GCN, RiskOracle, RiskSeq, DSTGCN, GSNet, MG-TAR, HintNet, MGHSTN",Hybrid,Temporal risk prediction,Fixed split,No,Yes,Dual-stream spatial modeling: (A) Global semantic — four multi-graphs B) Localized geographic — channel-wise CNN block operating on gridded spatial feature maps with global average pooling and channel attention,Not specified,Non-overlapping urban grid regions (I regions) within each city; exact grid resolution not stated in the accessible text but consistent with prior GCN-based urban prediction literature using neighborhood/zone-level grids,Combined spatiotemporal,"NYC(Acc@40: 45.79%, Acc@20: 57.98%) , Chicago(Acc@40: 51.77%, Acc@20: 60.97%)",Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,"NYC MSE: 0.2123, Acc@40: 43.67%; Chicago MSE: 0.2214, Acc@40: 50.14%. Second-best baseline MG-TAR achieved MSE = 0.2439 (NYC) and 0.2398 (Chicago)",GLST-TARP(achieves lowest MSE and highest Acc@40 and Acc@20 on both NYC and Chicago),No,No,No,"The paper's direct applicability to Bangladesh is limited but instructive in three specific ways. First, the zero-inflation / data sparsity problem the paper addresses (most urban regions recording zero accidents in any given interval) is highly analogous to the patchy accident reporting landscape in Bangladesh, where under-reporting is endemic; the Huber loss solution is therefore directly transferable. Second, the multi-graph framework requires rich auxiliary data (POI databases, demographic census vectors, taxi GPS mobility traces) that are largely unavailable or unreliable at sub-city granularity in Bangladesh — this is the primary barrier to direct replication. Third, the regression-based risk score formulation (weighting accidents by severity) could serve as a template for Bangladesh road safety planning if basic spatial and road network data become available through platforms like OpenStreetMap. The model's computational requirements (NVIDIA GeForce 1070 GPU, 16 GB RAM on a consumer-grade machine) are modest relative to other deep learning baselines, suggesting feasibility in a resource-constrained research environment if data could be collected.",Unclear risk,Low risk,High risk,Low risk,High risk,(1) reliance on specific data sources may limit generalizability across urban environments with varying data availability and quality; (2) computational complexity of multi-graph construction and attention mechanisms may affect scalability for large cities with extensive road networks; (3) model interpretability remains limited despite attention mechanisms — users cannot easily understand which specific factors drove high-risk predictions. ,"GLST-TARP proposes a dual-stream architecture encoding both global semantic spatial-temporal relations (via multi-graph GCN with 4 graph types and dual attention) and localized geographic spatial-temporal relations (via channel-wise CNN with temporal attention). Evaluated on NYC (2013) and Chicago (2016) open datasets, it outperforms 13 baselines including MG-TAR, MGHSTN, HintNet, DSTGCN, and GSNet. Best results: NYC MSE = 0.2269, Acc@20 = 57.98%; Chicago MSE = 0.2314, Acc@20 = 60.97%. The Huber loss outperforms MSE and MAE loss for handling zero-inflated sparse accident data. Ablation confirms that all four graph types, both attention mechanisms, and the 70/30 train-test split contribute positively; optimal GCN depth is 6 layers. Performance advantage is maintained during peak traffic hours (morning/evening rush), demonstrating temporal robustness.",,,,,,,,,,
342,Khan 2024,Utilizing GIS and Machine Learning for Traffic Accident Prediction in Urban Environment,Sarbajit Paul Bappy,"Utilizing GIS and Machine Learning for Traffic Accident 
Prediction in Urban Environment",Atif Ali Khan et al,2024,Civil Engineering Journal, Pakistan (Faisalabad),Lower-middle income,Mixed sources,Not Reported,Not Reported,City level,Urban,"Machine Learning Algorithms (developed using field-surveyed features like road geometry, road furniture, and traffic volume).",Traditional ML,Mixed,Not reported,Not reported,Not reported,Moran's I spatial statistics in ArcGIS for hotspot identification.,Hourly,Urban road segments / Intersection points,Combined spatiotemporal,Evaluated through predictive performance checking based on geometric and environmental features.,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Spatial Autocorrelation index (Moran's I values).,The integrated GIS-ML approach using field-validated geometric data is proposed as an effective system for urban accident forecasting.,No,Yes,Yes,"The methodology of using spatial autocorrelation (Moran's I) to identify high-risk areas, followed by target field surveys of road furniture and geometry, provides an excellent template for city planners in Dhaka or Chittagong to optimize limited infrastructure budgets.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"This research presents an integrated framework using Moran's I in ArcGIS alongside machine learning to map and forecast urban traffic accidents. The analysis revealed a significant spatial clustering of accidents around high-density transit zones like the General Transport Stand (GTS) area and pointed to specific temporal peaks (1 to 2 p.m.), demonstrating how field-level geometric variables can enhance local predictive modeling.",,,,,,,,,,
342,Khan 2024,Utilizing GIS and Machine Learning for Traffic Accident Prediction in Urban Environment,Consensus,"Utilizing GIS and Machine Learning for Traffic Accident 
Prediction in Urban Environment",Atif Ali Khan et al,2024,Civil Engineering Journal, Pakistan (Faisalabad),Lower-middle income,Mixed sources,Not Reported,Not Reported,City level,Urban,"Machine Learning Algorithms (developed using field-surveyed features like road geometry, road furniture, and traffic volume).",Traditional ML,Mixed,Not reported,Not reported,Not reported,Moran's I spatial statistics in ArcGIS for hotspot identification.,Hourly,Urban road segments / Intersection points,Combined spatiotemporal,Evaluated through predictive performance checking based on geometric and environmental features.,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Spatial Autocorrelation index (Moran's I values).,The integrated GIS-ML approach using field-validated geometric data is proposed as an effective system for urban accident forecasting.,No,Yes,Yes,"The methodology of using spatial autocorrelation (Moran's I) to identify high-risk areas, followed by target field surveys of road furniture and geometry, provides an excellent template for city planners in Dhaka or Chittagong to optimize limited infrastructure budgets.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"This research presents an integrated framework using Moran's I in ArcGIS alongside machine learning to map and forecast urban traffic accidents. The analysis revealed a significant spatial clustering of accidents around high-density transit zones like the General Transport Stand (GTS) area and pointed to specific temporal peaks (1 to 2 p.m.), demonstrating how field-level geometric variables can enhance local predictive modeling.",,,,,,,,,,
338,Alhaek 2024,Learning spatial patterns and temporal dependencies for traffic accident severity prediction: A deep learning approach,Sarbajit Paul Bappy,"Learning spatial patterns and temporal dependencies for traffic accident
severity prediction: A deep learning approach",Alhaek et al,2024,Knowledge-Based Systems,United Kingdom ,High income,Police records,"London: 314,282 accidents; Liverpool: 11,699 accidents — combined total = 325,981 records",January 2010 – December 2020 (11 years),City level,Urban,"Proposed model: 1D CNN + BiLSTM + Attention mechanism (CNN-BiLSTM-Attention). Baselines: Support Vector Machine (SVM), eXtreme Gradient Boosting (XGBoost), standalone 1D CNN, Deep Neural Network (DNN), CNN-LSTM hybrid",Hybrid,Severity classification,Fixed split,Yes-SMOTE,Yes,"1D Convolutional Neural Network (kernel size 3, hidden layers of 64/128/256 units) applied to tabular accident features encoded as sequential input vectors",Not specified,City level — London and Liverpool treated as separate experimental units,Combined spatiotemporal,Not reported,Not reported,"0.88, 0.85","0.86, 0.84","0.91, 0.87",Not reported,Not reported,F1-scores — CNN-only: 0.82; CNN+BiLSTM: 0.84; CNN+Attention: 0.86; Full model: 0.88,"Proposed 1D CNN-BiLSTM with Attention — outperformed all five baselines on both cities across all three reported metrics (Precision, Recall, F1-score)",No,No,No,,Unclear risk,Low risk,Low risk,Low risk,High risk,"1) the model needs further validation on traffic accident data from different geographic regions; (2) supplemental datasets from other cities and countries are needed to assess generalization capability; (3) future work will benchmark across varying locations, environmental conditions, and accident trends. ","The proposed 1D CNN-BiLSTM with Attention model outperforms SVM, XGBoost, standalone 1D CNN, DNN, and CNN-LSTM on UK traffic accident severity classification. Achieved F1 = 0.88 (London) and F1 = 0.85 (Liverpool). The ablation study confirms each component adds measurable value: BiLSTM adds 2–4% and the attention mechanism adds a further 3–6% over the CNN-only baseline. BSMOTE2 oversampling effectively addresses severe class imbalance. Optimal hyperparameters: learning rate 0.0001–0.1, dropout = 0.4.",,,,,,,,,,
338,Alhaek 2024,Learning spatial patterns and temporal dependencies for traffic accident severity prediction: A deep learning approach,Consensus,"Learning spatial patterns and temporal dependencies for traffic accident
severity prediction: A deep learning approach",Alhaek et al,2024,Knowledge-Based Systems,United Kingdom ,High income,Police records,"London: 314,282 accidents; Liverpool: 11,699 accidents — combined total = 325,981 records",January 2010 – December 2020 (11 years),City level,Urban,"Proposed model: 1D CNN + BiLSTM + Attention mechanism (CNN-BiLSTM-Attention). Baselines: Support Vector Machine (SVM), eXtreme Gradient Boosting (XGBoost), standalone 1D CNN, Deep Neural Network (DNN), CNN-LSTM hybrid",Hybrid,Severity classification,Fixed split,Yes-SMOTE,Yes,"1D Convolutional Neural Network (kernel size 3, hidden layers of 64/128/256 units) applied to tabular accident features encoded as sequential input vectors",Not specified,City level — London and Liverpool treated as separate experimental units,Combined spatiotemporal,Not reported,Not reported,"0.88, 0.85","0.86, 0.84","0.91, 0.87",Not reported,Not reported,F1-scores — CNN-only: 0.82; CNN+BiLSTM: 0.84; CNN+Attention: 0.86; Full model: 0.88,"Proposed 1D CNN-BiLSTM with Attention — outperformed all five baselines on both cities across all three reported metrics (Precision, Recall, F1-score)",No,No,No,,Unclear risk,Low risk,Low risk,Low risk,High risk,"1) the model needs further validation on traffic accident data from different geographic regions; (2) supplemental datasets from other cities and countries are needed to assess generalization capability; (3) future work will benchmark across varying locations, environmental conditions, and accident trends. ","The proposed 1D CNN-BiLSTM with Attention model outperforms SVM, XGBoost, standalone 1D CNN, DNN, and CNN-LSTM on UK traffic accident severity classification. Achieved F1 = 0.88 (London) and F1 = 0.85 (Liverpool). The ablation study confirms each component adds measurable value: BiLSTM adds 2–4% and the attention mechanism adds a further 3–6% over the CNN-only baseline. BSMOTE2 oversampling effectively addresses severe class imbalance. Optimal hyperparameters: learning rate 0.0001–0.1, dropout = 0.4.",,,,,,,,,,
336,Cui 2024,Advancing urban traffic accident forecasting through sparse spatio-temporal dynamic learning,Sarbajit Paul Bappy,Advancing urban traffic accident forecasting through sparse spatio-temporal dynamic learning ,P. Cui et al.,2024,Accident Analysis and Prevention,United States,High income,"Other: Official records (NYC Open Data for traffic accidents, MesoWest for weather, and Google Maps API for POI data)",Not reported,2017 to 2019,City level,Urban,Sparse Spatio-Temporal Dynamic Hypergraph Learning (SST-DHL).,Deep learning,Temporal risk prediction,Fixed split,Yes-SMOTE,Yes,Dynamic Hypergraph Learning to model non-stationary spatial dependencies.,Hourly,Grid-based urban regions,Combined spatiotemporal,Evaluated via RMSE and Recall.,Not Reported,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,ST-DHL (Outperformed baseline models like GSNet and RiskOracle).,No,No,Partially,The SST-DHL framework's ability to handle sparse data is highly relevant for urban centers in Bangladesh where data collection may be inconsistent or localized.,Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study introduced the SST-DHL framework, which captures higher-order dependencies and non-stationary patterns in sparse traffic accident data. By integrating dynamic hypergraph learning with self-supervised mechanisms, the model significantly improves forecasting accuracy and provides robust decision-support for urban safety management.",,,,,,,,,,
336,Cui 2024,Advancing urban traffic accident forecasting through sparse spatio-temporal dynamic learning,Consensus,Advancing urban traffic accident forecasting through sparse spatio-temporal dynamic learning ,P. Cui et al.,2024,Accident Analysis and Prevention,United States,High income,"Other: Official records (NYC Open Data for traffic accidents, MesoWest for weather, and Google Maps API for POI data)",Not reported,2017 to 2019,City level,Urban,Sparse Spatio-Temporal Dynamic Hypergraph Learning (SST-DHL).,Deep learning,Temporal risk prediction,Fixed split,Yes-SMOTE,Yes,Dynamic Hypergraph Learning to model non-stationary spatial dependencies.,Hourly,Grid-based urban regions,Combined spatiotemporal,Evaluated via RMSE and Recall.,Not Reported,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,ST-DHL (Outperformed baseline models like GSNet and RiskOracle).,No,No,Partially,The SST-DHL framework's ability to handle sparse data is highly relevant for urban centers in Bangladesh where data collection may be inconsistent or localized.,Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study introduced the SST-DHL framework, which captures higher-order dependencies and non-stationary patterns in sparse traffic accident data. By integrating dynamic hypergraph learning with self-supervised mechanisms, the model significantly improves forecasting accuracy and provides robust decision-support for urban safety management.",,,,,,,,,,
333,Feng 2024,Traffic accident prediction method based on multi-view spatial-temporal learning,Sarbajit Paul Bappy,"Traffic accident prediction method based on
multi-view spatial-temporal learning",Jian Feng et al.,2024,Bulletin of the Polish Academy of Sciences Technical Sciences,China,High income,Mixed sources,Not Reported,2017 to 2018,City level,Urban,Multi-View Spatial-Temporal Learning (MV-STL).,Deep learning,Temporal risk prediction,Fixed split,Yes-SMOTE,Yes,Deformable Convolutional Networks (DCN) to learn dynamic spatial dependencies.,Hourly,Grid-based urban regions,Combined spatiotemporal,Evaluated through RMSE and Recall.,Not Reported,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,MV-STL (Outperformed baseline models like GSNet and RiskOracle).,No,No,Partially,"The method of augmenting spatial semantic information is highly relevant for modeling accident risks in complex, high-density urban environments like Dhaka.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study proposed the MV-STL method, which uses deformable convolutions and learnable semantic embeddings to capture dynamic spatial-temporal evolution in traffic accidents. The model successfully represents the driving mechanisms of accidents from multiple views, significantly improving predictive accuracy over existing deep learning models.",,,,,,,,,,
333,Feng 2024,Traffic accident prediction method based on multi-view spatial-temporal learning,Consensus,"Traffic accident prediction method based on
multi-view spatial-temporal learning",Jian Feng et al.,2024,Bulletin of the Polish Academy of Sciences Technical Sciences,China,High income,Mixed sources,Not Reported,2017 to 2018,City level,Urban,Multi-View Spatial-Temporal Learning (MV-STL).,Deep learning,Temporal risk prediction,Fixed split,Yes-SMOTE,Yes,Deformable Convolutional Networks (DCN) to learn dynamic spatial dependencies.,Hourly,Grid-based urban regions,Combined spatiotemporal,Evaluated through RMSE and Recall.,Not Reported,Not Reported,Not Reported,Yes,Yes,Not Reported,Not Reported,MV-STL (Outperformed baseline models like GSNet and RiskOracle).,No,No,Partially,"The method of augmenting spatial semantic information is highly relevant for modeling accident risks in complex, high-density urban environments like Dhaka.",Low risk,Low risk,Low risk,Low risk,Low risk,Not Reported,"The study proposed the MV-STL method, which uses deformable convolutions and learnable semantic embeddings to capture dynamic spatial-temporal evolution in traffic accidents. The model successfully represents the driving mechanisms of accidents from multiple views, significantly improving predictive accuracy over existing deep learning models.",,,,,,,,,,
327,Ma 2026,Modeling Road User Interactions with Dynamic Graph Attention Networks for Traffic Crash Prediction,Sarbajit Paul Bappy,"Modeling Road User Interactions with Dynamic Graph Attention
Networks for Traffic Crash Prediction",Shihan Ma et al.,2026,Applied Sciences,United States,High income,Sensor or telematics data,"56,128 samples",Not Reported,Other: Simulated urban driving environments,Urban,Dynamic Graph Attention Network (GAT) and Long Short-Term Memory (LSTM),Deep learning,Accident occurrence prediction,Fixed split,Yes-undersampling,Yes,Graph-based representation where nodes represent road users and edges represent spatial proximity/interactions,Not specified,Individual road user level (vehicle-to-vehicle/vehicle-to-infrastructure),Combined spatiotemporal,Yes (86.1%),Yes (0.931),Yes (0.860),Yes (0.871),Yes (0.848),Not Reported,Not Reported,Not Reported,Proposed GAT-based model,No,No,No,"While not explicitly mentioned, the focus on modeling complex multi-agent interactions (vehicles, cyclists, pedestrians) is highly relevant to the heterogeneous traffic found in Bangladesh.",Low risk,Low risk,Low risk,Low risk,Low risk,"(1) Relies on simulated data which may not fully capture the ""noise"" of real-world sensors; (2) The fixed interaction thresholds (time/distance) may be too rigid for all scenarios.","The paper introduces a dynamic Graph Attention Network that abstracts road users as nodes and their interactions as edges to predict crashes. By combining node-wise LSTMs for temporal data and GATs for spatial interactions, the model achieves 86.1% accuracy. The study demonstrates that modeling road user interactions as a spatiotemporal graph significantly improves the ability to identify pre-crash risks compared to traditional models.",,,,,,,,,,
327,Ma 2026,Modeling Road User Interactions with Dynamic Graph Attention Networks for Traffic Crash Prediction,Consensus,"Modeling Road User Interactions with Dynamic Graph Attention
Networks for Traffic Crash Prediction",Shihan Ma et al.,2026,Applied Sciences,United States,High income,Sensor or telematics data,"56,128 samples",Not Reported,Other: Simulated urban driving environments,Urban,Dynamic Graph Attention Network (GAT) and Long Short-Term Memory (LSTM),Deep learning,Accident occurrence prediction,Fixed split,Yes-undersampling,Yes,Graph-based representation where nodes represent road users and edges represent spatial proximity/interactions,Not specified,Individual road user level (vehicle-to-vehicle/vehicle-to-infrastructure),Combined spatiotemporal,Yes (86.1%),Yes (0.931),Yes (0.860),Yes (0.871),Yes (0.848),Not Reported,Not Reported,Not Reported,Proposed GAT-based model,No,No,No,"While not explicitly mentioned, the focus on modeling complex multi-agent interactions (vehicles, cyclists, pedestrians) is highly relevant to the heterogeneous traffic found in Bangladesh.",Low risk,Low risk,Low risk,Low risk,Low risk,"(1) Relies on simulated data which may not fully capture the ""noise"" of real-world sensors; (2) The fixed interaction thresholds (time/distance) may be too rigid for all scenarios.","The paper introduces a dynamic Graph Attention Network that abstracts road users as nodes and their interactions as edges to predict crashes. By combining node-wise LSTMs for temporal data and GATs for spatial interactions, the model achieves 86.1% accuracy. The study demonstrates that modeling road user interactions as a spatiotemporal graph significantly improves the ability to identify pre-crash risks compared to traditional models.",,,,,,,,,,
296,Chango 2026,SARIMA vs. Prophet: Comparative Efficacy in Forecasting Traffic Accidents Across Ecuadorian Provinces,Sarbajit Paul Bappy,SARIMA vs. Prophet: Comparative Efficacy in Forecasting Traffic Accidents Across Ecuadorian Provinces,W. Chango et al.,2025,Computation (MDPI),Ecuador,Upper-middle income,Other: Official government records (National Institute of Statistics and Censuses - INEC and the National Transit Agency - ANT),Monthly records of traffic accidents for the 24 provinces of Ecuador,2014 to 2023,National level,Not specified,Seasonal Autoregressive Integrated Moving Average (SARIMA) and Facebook Prophet,Traditional ML,Temporal risk prediction,Time-based split,Not reported,Yes,Comparative analysis across different geographical provinces,Monthly,Province,Temporal only,Evaluated through error metrics,Not Reported,Not Reported,Not Reported,Not Reported,118.81,91.56,MAPE (Mean Absolute Percentage Error) and R-squared ($R^2$),SARIMA (Generally outperformed Prophet in terms of lower MAE and RMSE across the majority of provinces),No,Yes,Yes,The comparative efficacy of SARIMA vs. Prophet in an upper-middle-income setting provides a valuable benchmark for seasonal accident forecasting in other developing nations with similar data constraints.,Low risk,Low risk,Low risk,Low risk,Low risk,The models rely primarily on historical patterns and may not fully account for sudden external shocks (like significant policy changes or major infrastructure projects) unless explicitly modeled,"SARIMA demonstrated superior precision in forecasting monthly traffic accidents compared to Prophet. The study highlights that while both models are effective, SARIMA's ability to handle specific seasonal variations made it more reliable for the majority of Ecuadorian provinces.",,,,,,,,,,
296,Chango 2026,SARIMA vs. Prophet: Comparative Efficacy in Forecasting Traffic Accidents Across Ecuadorian Provinces,Consensus,SARIMA vs. Prophet: Comparative Efficacy in Forecasting Traffic Accidents Across Ecuadorian Provinces,W. Chango et al.,2025,Computation (MDPI),Ecuador,Upper-middle income,Other: Official government records (National Institute of Statistics and Censuses - INEC and the National Transit Agency - ANT),Monthly records of traffic accidents for the 24 provinces of Ecuador,2014 to 2023,National level,Not specified,Seasonal Autoregressive Integrated Moving Average (SARIMA) and Facebook Prophet,Traditional ML,Temporal risk prediction,Time-based split,Not reported,Yes,Comparative analysis across different geographical provinces,Monthly,Province,Temporal only,Evaluated through error metrics,Not Reported,Not Reported,Not Reported,Not Reported,118.81,91.56,MAPE (Mean Absolute Percentage Error) and R-squared ($R^2$),SARIMA (Generally outperformed Prophet in terms of lower MAE and RMSE across the majority of provinces),No,Yes,Yes,The comparative efficacy of SARIMA vs. Prophet in an upper-middle-income setting provides a valuable benchmark for seasonal accident forecasting in other developing nations with similar data constraints.,Low risk,Low risk,Low risk,Low risk,Low risk,The models rely primarily on historical patterns and may not fully account for sudden external shocks (like significant policy changes or major infrastructure projects) unless explicitly modeled,"SARIMA demonstrated superior precision in forecasting monthly traffic accidents compared to Prophet. The study highlights that while both models are effective, SARIMA's ability to handle specific seasonal variations made it more reliable for the majority of Ecuadorian provinces.",,,,,,,,,,
276,Bu 2025,DiffG-MTL: A Dynamic Multidiffusion Graph Network for Multitask Traffic Accident Prediction,Sarbajit Paul Bappy,DiffG-MTL: A Dynamic Multidiffusion Graph Network for Multitask Traffic Accident Prediction,Nana Bu et al.,2025,International Journal of Intelligent Systems,China,High income,Mixed sources,"Not explicitly stated as a total count, but covers comprehensive city-wide data with multiple urban features.",2017 to 2019,City level,Urban,DiffG-MTL (Dynamic Multidiffusion Graph Network for Multitask Learning).,Deep learning,Mixed,Fixed split,Yes-SMOTE,Yes,Dynamic Multidiffusion Graph Network (captures both global dependencies and local propagation).,Hourly,Grid-based urban regions,Combined spatiotemporal,"Evaluated via RMSE, MAE, and Recall.",Not Reported,Not Reported,Not Reported,Yes,Yes (Risk prediction metrics).,Yes (Severity prediction metrics).,Precision and Recall for severity classification.,DiffG-MTL significantly outperformed state-of-the-art models like GSNet and RiskOracle.,No,No,Partially,The dynamic graph approach is highly relevant for modeling nonstationary accident patterns in rapidly evolving urban centers like Dhaka.,Low risk,Low risk,Low risk,Low risk,Low risk,Complexity of dynamic graph generation may require significant computational resources.,"The study introduced DiffG-MTL, which uses dynamic graph topologies and a multidiffusion mechanism to capture the evolving propagation of accident risk. By employing multitask learning with dynamic weighting, the model successfully balances the prediction of accident occurrence and severity across diverse urban regions.",,,,,,,,,,
276,Bu 2025,DiffG-MTL: A Dynamic Multidiffusion Graph Network for Multitask Traffic Accident Prediction,Consensus,DiffG-MTL: A Dynamic Multidiffusion Graph Network for Multitask Traffic Accident Prediction,Nana Bu et al.,2025,International Journal of Intelligent Systems,China,High income,Mixed sources,"Not explicitly stated as a total count, but covers comprehensive city-wide data with multiple urban features.",2017 to 2019,City level,Urban,DiffG-MTL (Dynamic Multidiffusion Graph Network for Multitask Learning).,Deep learning,Mixed,Fixed split,Yes-SMOTE,Yes,Dynamic Multidiffusion Graph Network (captures both global dependencies and local propagation).,Hourly,Grid-based urban regions,Combined spatiotemporal,"Evaluated via RMSE, MAE, and Recall.",Not Reported,Not Reported,Not Reported,Yes,Yes (Risk prediction metrics).,Yes (Severity prediction metrics).,Precision and Recall for severity classification.,DiffG-MTL significantly outperformed state-of-the-art models like GSNet and RiskOracle.,No,No,Partially,The dynamic graph approach is highly relevant for modeling nonstationary accident patterns in rapidly evolving urban centers like Dhaka.,Low risk,Low risk,Low risk,Low risk,Low risk,Complexity of dynamic graph generation may require significant computational resources.,"The study introduced DiffG-MTL, which uses dynamic graph topologies and a multidiffusion mechanism to capture the evolving propagation of accident risk. By employing multitask learning with dynamic weighting, the model successfully balances the prediction of accident occurrence and severity across diverse urban regions.",,,,,,,,,,
275,Chen 2025,MobileNetV3–Transformer-Based Prediction of Highway Accident Severity,Sarbajit Paul Bappy,MobileNetV3–Transformer-Based Prediction of Highway Accident Severity,L. Chen et al.,2025,Applied Sciences (MDPI),China,Upper-middle income,Other: Official records (Hebei Provincial Highway Traffic Accident Dataset),"8,321 accident records",2021 to 2023,Regional level,Rural,"MobileNetV3-Transformer (Proposed), compared against MLP, SVM, RF, and XGBoost.",Deep learning,Severity classification,Fixed split,Yes-undersampling,Yes,Feature extraction of highway-specific environmental and road characteristics.,Hourly,Highway segments,Combined spatiotemporal,84.14%,Yes (0.89),Yes (0.83),Yes (0.84),Yes (0.83),No,No,G-mean (0.78),MobileNetV3-Transformer,No,Yes,Partially,"The use of a lightweight architecture (MobileNetV3) is highly relevant for Bangladesh, as it allows for high-performance severity prediction on mobile or edge devices with limited computational power.",Low risk,Low risk,Low risk,Low risk,Low risk,Focuses primarily on one province; suggests that expanding the variety of highway types and environmental factors would improve generalizability.,The study demonstrates that combining MobileNetV3 with a Transformer architecture effectively captures long-range dependencies in accident data while remaining computationally efficient. The proposed model significantly improved the identification of fatal and serious accidents compared to traditional machine learning methods.,,,,,,,,,,
275,Chen 2025,MobileNetV3–Transformer-Based Prediction of Highway Accident Severity,Consensus,MobileNetV3–Transformer-Based Prediction of Highway Accident Severity,L. Chen et al.,2025,Applied Sciences (MDPI),China,Upper-middle income,Other: Official records (Hebei Provincial Highway Traffic Accident Dataset),"8,321 accident records",2021 to 2023,Regional level,Rural,"MobileNetV3-Transformer (Proposed), compared against MLP, SVM, RF, and XGBoost.",Deep learning,Severity classification,Fixed split,Yes-undersampling,Yes,Feature extraction of highway-specific environmental and road characteristics.,Hourly,Highway segments,Combined spatiotemporal,84.14%,Yes (0.89),Yes (0.83),Yes (0.84),Yes (0.83),No,No,G-mean (0.78),MobileNetV3-Transformer,No,Yes,Partially,"The use of a lightweight architecture (MobileNetV3) is highly relevant for Bangladesh, as it allows for high-performance severity prediction on mobile or edge devices with limited computational power.",Low risk,Low risk,Low risk,Low risk,Low risk,Focuses primarily on one province; suggests that expanding the variety of highway types and environmental factors would improve generalizability.,The study demonstrates that combining MobileNetV3 with a Transformer architecture effectively captures long-range dependencies in accident data while remaining computationally efficient. The proposed model significantly improved the identification of fatal and serious accidents compared to traditional machine learning methods.,,,,,,,,,,
254,Liu 2023,Time and Distance Gaps of Primary-Secondary Crashes Prediction and Analysis Using Random Forests and SHAP Model,Sarbajit Paul Bappy,"Time and Distance Gaps of Primary-Secondary Crashes Prediction
and Analysis Using Random Forests and SHAP Model",Xinyuan Liu et al,2023,Journal of Advanced Transportation,United States,High income,Mixed sources,"24,643 total crashes, resulting in 368 identified secondary crashes (SCs)",June 2016 to December 2019,Regional level,Mixed,"Random Forests (RF), K-nearest neighbor (KNN), and Multilayer Perceptron Regression (MPR)",Ensemble,Temporal risk prediction,Fixed split,Not reported,Yes,Speed contour map-based method and fixed spatial threshold (2 miles),Hourly,Freeway mileposts/postmiles and latitude/longitude,Combined spatiotemporal,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,(RF Testing set: Time gap MAE = 0.46; Distance gap MAE = 0.45),MSE (RF Testing set: Time gap MSE = 0.31; Distance gap MSE = 0.31),Random Forests (RF),No,No,No,"The study notes that 19/05/2026 is the date the library was accessed from Bangladesh, but the data itself is California-specific.",Low risk,Low risk,Low risk,Low risk,Low risk,"1) Small sample size of 368 identified SCs; (2) Limited number of variables (17 used, lacking shoulder width or truck proportions); (3) Need for combining PC and SC characteristics in future work.","Traffic volume and lighting are the most significant factors influencing the time and distance between crashes. High traffic volume tends to increase (promote) both gaps, while dark environments (no streetlights) accelerate the occurrence of secondary crashes (shorten the time gap). Improper turns and unsafe lane changes are associated with larger distance and time gaps.",,,,,,,,,,
